Model,Release date,Max resolution,Low resolution,Effective pixels,Zoom wide (W),Zoom tele (T),Normal focus range,Macro focus range,Storage included,Weight (inc. batteries),Dimensions,Price
Sony DSC-P5,,2048.0,,,39.0,117.0,,10.0,,,,
Sony DSC-P50,2001,,1024.0,1.0,41.0,,50.0,3.0,,250.0,,149.0
Sony DSC-P51,2002,,1280.0,,,82.0,,8.0,,275.0,127.0,429.0
Sony DSC-P52,2003,2048.0,1632.0,3.0,41.0,,8.0,,16.0,280.0,,
Sony DSC-P7,2002,,,3.0,,117.0,50.0,10.0,,214.0,,
Sony DSC-P71,,,,,,,,,,,,149.0
Sony DSC-P72,,2048.0,,3.0,39.0,117.0,,,16.0,259.0,120.0,149.0
Sony DSC-P73,,2272.0,,3.0,39.0,117.0,50.0,,16.0,243.0,,
Sony DSC-P8,2003,2048.0,1632.0,,,,,10.0,16.0,,,429.0
Sony DSC-P9,,,1600.0,3.0,,117.0,50.0,,,,113.0,
Sony DSC-P92,2003,2592.0,2048.0,5.0,38.0,,,10.0,,,120.0,
Sony DSC-P93,2004,,,,,,,10.0,32.0,,117.0,429.0
Sony DSC-R1,2005,,,10.0,24.0,,0.0,,0.0,995.0,139.0,429.0
Sony DSC-S30,,,,,,117.0,25.0,3.0,,,113.0,
Sony DSC-S40,,2304.0,,4.0,32.0,,0.0,,32.0,184.0,99.0,149.0
Sony DSC-S50,2000,,1280.0,1.0,,117.0,25.0,,,,,149.0
Sony DSC-S60,2005,2304.0,2048.0,4.0,,117.0,,,32.0,249.0,,149.0
Sony DSC-S600,2006,2816.0,2048.0,,,93.0,,0.0,,180.0,100.0,
Sony DSC-S650,2007,3072.0,,,,105.0,35.0,5.0,,178.0,91.0,
Sony DSC-S70,2000,2048.0,1600.0,3.0,34.0,,,,,420.0,117.0,
Sony DSC-S700,2007,,,7.0,,105.0,,5.0,,178.0,91.0,149.0
Sony DSC-S75,,,1600.0,3.0,,102.0,50.0,4.0,,444.0,,
Sony DSC-S800,2007,,2592.0,,37.0,222.0,,,,,,149.0
Sony DSC-S85,2001,2272.0,,3.0,,102.0,50.0,4.0,,444.0,125.0,
Sony DSC-S90,2005,2304.0,2048.0,4.0,39.0,,,,32.0,,,149.0
Sony DSC-T1,2003,2592.0,,5.0,,114.0,25.0,,32.0,,91.0,399.0
Sony DSC-T10,2006,,2592.0,7.0,38.0,114.0,50.0,1.0,,168.0,90.0,399.0
Sony DSC-T100,2007,,,,35.0,175.0,,1.0,31.0,197.0,92.0,
Sony DSC-T11,,2592.0,2048.0,5.0,,114.0,,,32.0,,,
Sony DSC-T20,2007,3264.0,,,38.0,114.0,50.0,1.0,31.0,,,399.0
Sony DSC-T200,,3264.0,3264.0,8.0,35.0,175.0,,,31.0,,,399.0
Sony DSC-T3,2004,,,,38.0,114.0,50.0,8.0,32.0,,,399.0
Sony DSC-T30,,3072.0,2592.0,7.0,38.0,,,1.0,58.0,172.0,95.0,399.0
Sony DSC-T33,2005,,,5.0,,114.0,50.0,8.0,32.0,150.0,,399.0
Sony DSC-T5,2005,2592.0,,5.0,38.0,114.0,50.0,8.0,32.0,139.0,94.0,
Sony DSC-T50,,,2592.0,7.0,38.0,114.0,50.0,,,,95.0,
Sony DSC-T7,2005,2592.0,2048.0,5.0,,114.0,,,32.0,,,
Sony DSC-T9,2005,2816.0,,6.0,38.0,,50.0,1.0,32.0,,90.0,429.0
Sony DSC-U10,2002,,640.0,,33.0,33.0,10.0,,8.0,,,149.0
Sony DSC-U20,2002,1632.0,640.0,,,33.0,,,,118.0,,
Sony DSC-U30,2003,1632.0,,2.0,33.0,,,10.0,,130.0,,
Sony DSC-U40,2003,,640.0,,,33.0,,10.0,8.0,130.0,,
Sony DSC-U50,,,640.0,,33.0,,10.0,10.0,8.0,,,149.0
Sony DSC-U60,2003,,640.0,,33.0,33.0,10.0,10.0,8.0,200.0,60.0,
Sony DSC-V1,2003,2592.0,,5.0,34.0,,40.0,,32.0,298.0,,
Sony DSC-V3,2004,3072.0,,7.0,,,,10.0,0.0,,120.0,
Sony DSC-W1,2004,,,,38.0,,50.0,,32.0,250.0,91.0,
Sony DSC-W100,2006,3264.0,,8.0,,,,6.0,64.0,192.0,,149.0
Sony DSC-W200,2007,4000.0,,,35.0,,,,31.0,,91.0,399.0
Sony DSC-W30,2006,2816.0,,,38.0,,,,32.0,,90.0,
Sony DSC-W35,2007,3072.0,2592.0,7.0,38.0,,30.0,,,149.0,,429.0
Sony DSC-W5,2005,,,,,,,,,,,
Sony DSC-W50,2006,2816.0,,,38.0,114.0,50.0,,,157.0,89.0,
Sony DSC-W55,2007,,,,38.0,,,2.0,,147.0,90.0,429.0
Sony DSC-W7,,,2592.0,,38.0,114.0,50.0,,32.0,,,149.0
Sony DSC-W70,,,2592.0,7.0,38.0,,50.0,2.0,58.0,,89.0,
Sony DSC-W80,,,2592.0,,35.0,,50.0,4.0,31.0,,,
Sony DSC-W90,2007,,2592.0,,35.0,105.0,50.0,,31.0,175.0,91.0,
Sony DSLR-A100,,3872.0,3896.0,10.0,0.0,0.0,,0.0,0.0,,133.0,
Sony DSLR-A700,2007,4272.0,3104.0,,,0.0,0.0,,0.0,768.0,142.0,599.0
Sony Mavica FD-100,2002,1280.0,,,,,,0.0,,,,1399.0
Sony Mavica FD-200,2002,1600.0,1024.0,1.0,37.0,111.0,19.0,,1.0,520.0,142.0,1399.0
Sony Mavica FD-71,1998,,,,40.0,400.0,1.0,,1.0,500.0,138.0,
Sony Mavica FD-73,,640.0,,0.0,,400.0,1.0,,,500.0,,1399.0
Sony Mavica FD-75,2001,640.0,,,,400.0,,1.0,,580.0,,1399.0
Sony Mavica FD-81,,1024.0,,0.0,,111.0,,,1.0,580.0,140.0,1399.0
Sony Mavica FD-83,1999,1024.0,,,,111.0,1.0,,1.0,580.0,142.0,
Sony Mavica FD-85,2000,1280.0,,1.0,,111.0,,1.0,1.0,,0.0,
Sony Mavica FD-87,2001,,1024.0,,39.0,117.0,,,,630.0,,
Sony Mavica FD-88,1999,,1024.0,1.0,,,,4.0,1.0,,142.0,1399.0
Sony Mavica FD-90,,,,1.0,34.0,270.0,,4.0,1.0,,0.0,1399.0
Sony Mavica FD-92,,,1280.0,,41.0,,25.0,3.0,,,,1399.0
Sony Mavica FD-95,2000,1600.0,1600.0,1.0,37.0,370.0,80.0,,1.0,900.0,0.0,
Sony Mavica FD-97,,1600.0,1024.0,1.0,,390.0,25.0,2.0,,,126.0,1399.0
Toshiba PDR-3310,,2048.0,1024.0,3.0,35.0,,,,8.0,205.0,,177.0
Toshiba PDR-3330,2002,,1024.0,,35.0,100.0,80.0,,8.0,,116.0,
Toshiba PDR-4300,2003,,1200.0,3.0,35.0,100.0,,10.0,16.0,0.0,0.0,599.0
Toshiba PDR-5300,,2560.0,,,35.0,105.0,,,,230.0,,177.0
Toshiba PDR-M1,1998,,,1.0,,,,9.0,4.0,,123.0,
Toshiba PDR-M11,2001,,,,52.0,52.0,90.0,,8.0,240.0,,62.0
Toshiba PDR-M21,2001,1600.0,800.0,,,,50.0,,,240.0,116.0,177.0
Toshiba PDR-M25,,1729.0,896.0,2.0,38.0,,,8.0,,320.0,105.0,
Toshiba PDR-M3,1999,,640.0,1.0,38.0,,90.0,25.0,4.0,,122.0,
Toshiba PDR-M4,,,800.0,,,,,10.0,8.0,290.0,,62.0
Toshiba PDR-M5,1999,1600.0,800.0,1.0,40.0,120.0,90.0,,8.0,,130.0,62.0
Toshiba PDR-M60,,,,,38.0,,50.0,,4.0,320.0,,449.0
Toshiba PDR-M61,,1792.0,896.0,,38.0,114.0,,5.0,8.0,310.0,123.0,62.0
Toshiba PDR-M65,,,,,38.0,,10.0,10.0,8.0,320.0,120.0,62.0
Toshiba PDR-M70,2000,,1024.0,3.0,35.0,105.0,80.0,9.0,,390.0,116.0,
Toshiba PDR-M71,2001,,,3.0,35.0,98.0,80.0,10.0,,,107.0,
Toshiba PDR-M81,,2400.0,,,35.0,98.0,80.0,,,,107.0,
Toshiba PDR-T10,,1600.0,800.0,,,38.0,40.0,20.0,8.0,,,
